Squad,Season, Fee 
Brighton,2018-19," £90,620,000 "
Everton,2018-19," £89,650,000 "
Manchester Utd,2018-19," £82,700,000 "
Manchester City,2018-19," £78,590,000 "
Arsenal,2018-19," £77,650,000 "
Southampton,2018-19," £62,250,000 "
Newcastle Utd,2018-19," £56,400,000 "
Cardiff City,2018-19," £51,200,000 "
Huddersfield,2018-19," £48,200,000 "
Burnley,2018-19," £33,000,000 "
Watford,2018-19," £30,100,000 "
Crystal Palace,2018-19," £10,700,000 "
Manchester Utd,2019-20," £224,800,000 "
Manchester City,2019-20," £169,820,000 "
Aston Villa,2019-20," £159,100,000 "
Arsenal,2019-20," £152,800,000 "
Tottenham,2019-20," £130,000,000 "
Everton,2019-20," £118,500,000 "
Wolves,2019-20," £116,700,000 "
West Ham,2019-20," £115,300,000 "
Leicester City,2019-20," £104,300,000 "
Sheffield Utd,2019-20," £72,500,000 "
Newcastle Utd,2019-20," £66,900,000 "
Brighton,2019-20," £61,740,000 "
Southampton,2019-20," £57,500,000 "
Watford,2019-20," £56,000,000 "
Bournemouth,2019-20," £52,210,000 "
Chelsea,2019-20," £45,000,000 "
Burnley,2019-20," £23,850,000 "
Liverpool,2019-20," £10,400,000 "
Crystal Palace,2019-20," £6,100,000 "
Norwich City,2019-20," £5,815,000 "
Chelsea,2020-21," £247,200,000 "
Manchester City,2020-21," £173,400,000 "
Leeds United,2020-21," £127,800,000 "
Tottenham,2020-21," £107,500,000 "
Aston Villa,2020-21," £101,350,000 "
Wolves,2020-21," £84,589,000 "
Arsenal,2020-21," £84,000,000 "
Manchester Utd,2020-21," £83,950,000 "
Liverpool,2020-21," £82,300,000 "
Everton,2020-21," £74,370,000 "
Sheffield Utd,2020-21," £62,700,000 "
Leicester City,2020-21," £55,900,000 "
Brighton,2020-21," £50,100,000 "
West Ham,2020-21," £46,900,000 "
West Brom,2020-21," £40,560,000 "
Newcastle Utd,2020-21," £38,750,000 "
Southampton,2020-21," £37,300,000 "
Fulham,2020-21," £29,550,000 "
Crystal Palace,2020-21," £18,900,000 "
Burnley,2020-21," £1,100,000 "
Arsenal,2021-22," £167,400,000 "
Manchester Utd,2021-22," £142,000,000 "
Manchester City,2021-22," £138,900,000 "
Newcastle Utd,2021-22," £130,500,000 "
Aston Villa,2021-22," £129,800,000 "
Chelsea,2021-22," £113,000,000 "
Liverpool,2021-22," £91,000,000 "
Tottenham,2021-22," £85,900,000 "
Crystal Palace,2021-22," £85,620,000 "
Brighton,2021-22," £75,000,000 "
Leicester City,2021-22," £67,600,000 "
West Ham,2021-22," £67,300,000 "
Southampton,2021-22," £63,400,000 "
Leeds United,2021-22," £59,300,000 "
Norwich City,2021-22," £58,050,000 "
Burnley,2021-22," £49,400,000 "
Watford,2021-22," £42,500,000 "
Everton,2021-22," £39,500,000 "
Brentford,2021-22," £37,200,000 "
Wolves,2021-22," £31,600,000 "
Chelsea,2022-23," £616,250,000 "
Manchester Utd,2022-23," £238,020,000 "
West Ham,2022-23," £196,600,000 "
Nott'ham Forest,2022-23," £188,850,000 "
Arsenal,2022-23," £186,400,000 "
Newcastle Utd,2022-23," £185,350,000 "
Wolves,2022-23," £175,107,000 "
Tottenham,2022-23," £171,900,000 "
Leeds United,2022-23," £162,640,000 "
Manchester City,2022-23," £155,000,000 "
Southampton,2022-23," £153,110,000 "
Liverpool,2022-23," £141,300,000 "
Aston Villa,2022-23," £99,640,000 "
Everton,2022-23," £83,070,000 "
Bournemouth,2022-23," £82,350,000 "
Fulham,2022-23," £76,100,000 "
Brighton,2022-23," £55,700,000 "
Brentford,2022-23," £48,250,000 "
Leicester City,2022-23," £48,000,000 "
Crystal Palace,2022-23," £46,600,000 "
Chelsea,2023-24," £464,100,000 "
Tottenham,2023-24," £272,100,000 "
Manchester City,2023-24," £259,600,000 "
Arsenal,2023-24," £231,600,000 "
Manchester Utd,2023-24," £193,300,000 "
Liverpool,2023-24," £172,000,000 "
Newcastle Utd,2023-24," £153,200,000 "
West Ham,2023-24," £137,560,000 "
Nott'ham Forest,2023-24," £128,900,000 "
Bournemouth,2023-24," £127,290,000 "
Burnley,2023-24," £111,050,000 "
Brighton,2023-24," £109,500,000 "
Aston Villa,2023-24," £106,500,000 "
Wolves,2023-24," £94,000,000 "
Brentford,2023-24," £72,350,000 "
Fulham,2023-24," £68,470,000 "
Crystal Palace,2023-24," £67,800,000 "
Sheffield Utd,2023-24," £66,950,000 "
Everton,2023-24," £37,500,000 "
Luton Town,2023-24," £25,900,000 "
Chelsea,2024-25," £238,500,000 "
Brighton,2024-25," £231,200,000 "
Manchester Utd,2024-25," £214,500,000 "
Aston Villa,2024-25," £176,200,000 "
Tottenham,2024-25," £148,850,000 "
West Ham,2024-25," £144,400,000 "
Ipswich Town,2024-25," £124,990,000 "
Southampton,2024-25," £117,150,000 "
Arsenal,2024-25," £108,900,000 "
Nott'ham Forest,2024-25," £107,500,000 "
Bournemouth,2024-25," £104,370,000 "
Brentford,2024-25," £97,900,000 "
Fulham,2024-25," £91,550,000 "
Leicester City,2024-25," £86,800,000 "
Crystal Palace,2024-25," £77,700,000 "
Wolves,2024-25," £68,900,000 "
Newcastle Utd,2024-25," £68,200,000 "
Everton,2024-25," £48,200,000 "
Liverpool,2024-25," £42,000,000 "
Manchester City,2024-25," £25,000,000 "
